id,name,mobile,broadband
previousprovider1,Xphera Móviles,True,False
previousprovider2,Aire / Nubip,True,True
previousprovider3,Orange,True,True
previousprovider4,Parlem,True,True
previousprovider5,Yoigo,True,True
previousprovider6,BT,True,False
previousprovider7,Carrefour,True,False
previousprovider8,Amena,True,False
previousprovider9,DIGI Spain Telecom,True,False
previousprovider10,E-Plus España (KPN-Bankinter),True,False
previousprovider11,Eroski,True,False
previousprovider12,Euskaltel (Europa),True,False
previousprovider13,Fonyou,True,False
previousprovider14,GT Mobile,True,False
previousprovider15,Hits,True,False
previousprovider16,Ibercom,True,False
previousprovider17,Least Cost Routing Telecom,True,False
previousprovider18,Llamaya,True,False
previousprovider19,Lycamobile,True,False
previousprovider20,More Minutes,True,False
previousprovider21,Neo Sky,True,False
previousprovider22,Oceane,True,False
previousprovider23,Ono,True,True
previousprovider24,IOS -Pinger-Alow-Vozelia-KNET-SUOP,True,False
previousprovider25,Lebara,True,False
previousprovider26,Orbitel,True,False
previousprovider27,Suop (IO S),True,False
previousprovider28,Pepephone 4G,True,False
previousprovider29,Procono PTV Telecom,True,False
previousprovider30,R Cable y Telecomunicaciones,True,False
previousprovider31,Sarnet,True,False
previousprovider32,Simyo,True,False
previousprovider33,Telecable Móvil,True,False
previousprovider34,The Phone House,True,False
previousprovider35,Tuenti,True,False
previousprovider36,Viva Mobile,True,False
previousprovider37,Vivazzi,True,False
previousprovider38,Voz Telecom,True,False
previousprovider39,Movistar,True,True
previousprovider40,Más Móvil,True,True
previousprovider41,You Mobile,True,False
previousprovider42,Lowi (Vodafone Enabler),True,False
previousprovider43,RACC,True,False
previousprovider44,Happy Móvil,True,False
previousprovider45,Cable Móvil,True,False
previousprovider46,Infotelecom,True,False
previousprovider47,República Móvil,True,False
previousprovider48,Icatel,True,False
previousprovider49,Vodafone-Ono,True,True
previousprovider50,PepePhone,False,False
previousprovider51,Jazztel,True,True
previousprovider52,Som Connexió,True,True
previousprovider53,Euskaltel,False,False
previousprovider54,Altecom,True,False
previousprovider55,RTelecomunicaciones,False,False
previousprovider56,Altres / Otros,True,True
